;times;auc;iauc;model;fold
32;33;0.734894449;0.73765198;cox;2
33;34;0.726921426;0.73765198;cox;2
34;35;0.721858538;0.73765198;cox;2
35;36;0.73478897;0.73765198;cox;2
36;37;0.732290655;0.73765198;cox;2
37;38;0.746289831;0.73765198;cox;2
38;39;0.723772261;0.73765198;cox;2
39;40;0.735647134;0.73765198;cox;2
40;41;0.75260767;0.73765198;cox;2
41;43;0.764705492;0.73765198;cox;2
42;50;0.765268067;0.73765198;cox;2
43;57;0.757673901;0.73765198;cox;2
44;64;0.688824331;0.73765198;cox;2
45;71;0.720765625;0.73765198;cox;2
0;1;0.786089866;0.813336481;cox;3
1;2;0.762111153;0.813336481;cox;3
2;3;0.754274262;0.813336481;cox;3
3;4;0.778192164;0.813336481;cox;3
4;5;0.781955255;0.813336481;cox;3
5;6;0.78997466;0.813336481;cox;3
6;7;0.80379524;0.813336481;cox;3
7;8;0.802539418;0.813336481;cox;3
8;9;0.797828852;0.813336481;cox;3
9;10;0.799832448;0.813336481;cox;3
10;11;0.81813219;0.813336481;cox;3
11;12;0.82779387;0.813336481;cox;3
12;13;0.835217954;0.813336481;cox;3
13;14;0.842656397;0.813336481;cox;3
14;15;0.834160176;0.813336481;cox;3
15;16;0.834503191;0.813336481;cox;3
16;17;0.832741917;0.813336481;cox;3
17;18;0.839772962;0.813336481;cox;3
18;19;0.829670282;0.813336481;cox;3
19;20;0.844083261;0.813336481;cox;3
20;21;0.837263938;0.813336481;cox;3
21;22;0.833366728;0.813336481;cox;3
22;23;0.8312904;0.813336481;cox;3
23;24;0.816574578;0.813336481;cox;3
24;25;0.804817185;0.813336481;cox;3
25;26;0.814365117;0.813336481;cox;3
26;27;0.80848868;0.813336481;cox;3
